frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,114676.046,0.0,0.0,-0.9754117727279663,0.0,0.0,0.0,0.13670945167541504,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.688600540161133,0.0,0.0
2,114676.171,0.0,0.0,-0.9638173580169678,0.0,0.0,0.0,0.0939415916800499,0.15,0.0,trajectory,STRAIGHT,3.720679759979248,0.0,0.0
3,114676.265,2.5199155061272904e-05,-1.1071223546426138e-15,-0.9560551643371582,-1.103643419231196e-10,0.0015060976147651672,-8.942267092819714e-14,0.0801532045006752,0.14987951219081877,1.1030123051635103e-11,trajectory,STRAIGHT,3.6978225708007812,-2.5191981379180106e-05,6.012405825893752e-07
4,114676.359,0.0003817490942310542,-4.277387634626234e-14,-0.9499070644378662,-2.583043591773893e-10,0.007934900000691414,-1.1851076760563406e-12,0.07199586182832718,0.14936520799994468,2.5755691633157655e-11,trajectory,STRAIGHT,3.6746344566345215,-0.00038164041902177814,9.108362824281742e-06
5,114676.468,0.0017712705302983522,-3.3653564960808846e-13,-0.9429938793182373,-6.786589772486827e-10,0.01975749433040619,-5.132992555306748e-12,0.06384702771902084,0.1484194004535675,4.1308488197591797e-11,trajectory,STRAIGHT,3.6145033836364746,-0.001770766306911753,4.226172331782273e-05
6,114676.562,0.0037063714116811752,-9.33977721551127e-13,-0.9382227063179016,-9.252395671024014e-10,0.02992907352745533,-1.0528142593835277e-11,0.05860845372080803,0.14760567411780356,6.510196033040536e-11,trajectory,STRAIGHT,3.5671470165252686,-0.0037053163764255714,8.843236537125057e-05
7,114676.593,0.004462821409106255,-1.2109038815058537e-12,-0.9368339776992798,-9.158462403766275e-10,0.033107515424489975,-1.2577230923405125e-11,0.05712636932730675,0.1473513987660408,-2.400452253705373e-12,trajectory,STRAIGHT,3.542710542678833,-0.004461551069887548,0.00010648092413866256
8,114676.703,0.005627389065921307,-1.6759119049122861e-12,-0.9349810481071472,-8.900140779828127e-10,0.037465453147888184,-1.5652314513947552e-11,0.05517764016985893,0.14700276374816895,-5.034726067309717e-12,trajectory,STRAIGHT,3.542710542678833,-0.005625787277772076,0.00013426698777135862
9,114676.812,0.012521160766482353,-5.1512709028922465e-12,-0.9274542331695557,-8.75926256182136e-10,0.05602870509028435,-3.2428656981942083e-11,0.047467075288295746,0.14551770359277724,-2.9969583964562505e-12,trajectory,STRAIGHT,3.542710542678833,-0.012517597311202167,0.00029874929773310375
10,114676.89,0.017441796138882637,-8.21971570669211e-12,-0.9237610101699829,-1.2657474608584058e-09,0.06533502787351608,-4.349391680147363e-11,0.043778084218502045,0.1447731977701187,3.359601478555905e-11,trajectory,STRAIGHT,3.530543088912964,-0.01743683287961062,0.0004161534566806609
