frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,cmd_vz,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,8978.843,14.153901100158691,1.1117500434920657e-05,-0.9183197021484375,-6.159202913614427e-07,0.0,0.0,0.04586249589920044,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.651428461074829,0.0,0.0
2,8979.109,14.153901100158691,1.1117500434920657e-05,-0.9113637208938599,-6.159202913614427e-07,0.0,0.0,0.05626380443572998,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.606126308441162,0.0,0.0
3,8979.406,14.153901100158691,1.1117500434920657e-05,-0.9016329050064087,-6.159202913614427e-07,0.0,0.0,0.04357510432600975,0.1499999999882366,-1.878569565877063e-06,-0.011991300292923255,trajectory,STRAIGHT,3.5915541648864746,0.0,0.0
4,8979.703,14.153914451599121,1.1117492249468341e-05,-0.8977899551391602,-6.158570000442121e-07,0.0010334198595955968,-6.36511676699314e-10,0.03235184773802757,0.1499999999882361,-1.8786087106014367e-06,-0.01159105465543798,trajectory,STRAIGHT,3.5915541648864746,1.3351440428577277e-05,1.672487017758313e-10
5,8979.984,14.156393051147461,1.1115964298369363e-05,-0.8929272294044495,-6.133916722052573e-07,0.024057013913989067,-1.4803551273701032e-08,0.012158412486314774,0.1499999999881622,-1.8844977808959196e-06,-0.010646038577800224,trajectory,STRAIGHT,3.5502660274505615,0.00249195098857391,3.120739520883775e-08
6,8980.281,14.163904190063477,1.1111344974779058e-05,-0.8918725848197937,-6.108109649038358e-07,0.05051455646753311,-3.105266799252604e-08,-0.001243773614987731,0.1499999999879437,-1.9018122730862035e-06,-0.010008900005280832,trajectory,STRAIGHT,3.467719316482544,0.010003089903993123,1.252823143061714e-07
7,8980.578,14.168767929077148,1.110835546569433e-05,-0.8921453952789307,-6.099419868940107e-07,0.061149004846811295,-3.7577326139626166e-08,-0.005117504857480526,0.14999999998780056,-1.913067209750539e-06,-0.009731675014459599,trajectory,STRAIGHT,3.4500415325164795,0.014866828917272867,1.8620096135488137e-07
8,8980.89,14.192440032958984,1.1093816283391789e-05,-0.895365834236145,-6.059810986058352e-07,0.09172635525465012,-5.633601674048805e-08,-0.014963649213314056,0.14999999998706734,-1.969720634845367e-06,-0.008770981224115262,trajectory,STRAIGHT,3.4485695362091064,0.03853893279713294,4.827065342570811e-07
9,8981.14,14.207687377929688,1.1084450306952931e-05,-0.8977965712547302,-6.041404113951723e-07,0.10332419723272324,-6.346700587300802e-08,-0.01643313281238079,0.1499999999865614,-2.007878317919953e-06,-0.008390462201376927,trajectory,STRAIGHT,3.4643542766571045,0.05378627776650069,6.736863617910466e-07
10,8981.421,14.223889350891113,1.1074495887442026e-05,-0.9003947973251343,-6.01923502899578e-07,0.11236486583948135,-6.904728877543675e-08,-0.017846211791038513,-0.12,0.12,0.0,recovery,STRAIGHT,3.484107494354248,0.06998825072644999,8.76621288270528e-07
11,8981.671,14.235528945922852,5.2370498451637104e-05,-0.9022067189216614,2.5499546746842256e-05,0.11345137655735016,0.0017513735219836235,-0.018129274249076843,-0.12,0.12,0.0,recovery,STRAIGHT,3.493901252746582,0.08162784404336598,4.232556483823509e-05
12,8982.187,14.256124496459961,0.0018365926807746291,-0.9065365791320801,0.00010177721788006586,0.08426529914140701,0.017268188297748566,-0.023676469922065735,-0.12,0.12,0.0,recovery,STRAIGHT,3.512166738510132,0.10222112914846448,0.001826818366720899
13,8982.515,14.271430015563965,0.009375308640301228,-0.9127504825592041,8.700127814760094e-05,0.034773603081703186,0.04082006588578224,-0.02326558530330658,0.14998741396479576,-0.00194310374220918,-0.0066056144344994756,trajectory,STRAIGHT,3.4567205905914307,0.11746859678852817,0.009365735435792352
14,8982.781,14.27542495727539,0.018136898055672646,-0.9165438413619995,-8.792337642150048e-06,0.01522484328597784,0.05034518986940384,-0.018186373636126518,0.14995306343291698,-0.0037521683175960937,-0.006549403897068845,trajectory,STRAIGHT,3.441992998123169,0.12129689963396106,0.018127377342812525
15,8983.062,14.278702735900879,0.026377055794000626,-0.9198595285415649,-6.629880833084214e-06,0.02633536234498024,0.04661206901073456,-0.02117294631898403,0.14989984042478793,-0.0054806788469235,-0.005978110836892961,trajectory,STRAIGHT,3.4649550914764404,0.12431950683829485,0.026367578149513994
16,8983.328,14.2828950881958,0.03191069886088371,-0.9226167798042297,-6.5430304161168966e-06,0.040590837597846985,0.04102906584739685,-0.022454001009464264,0.14985174945175822,-0.0066673222696584135,-0.005592157650853741,trajectory,STRAIGHT,3.560774803161621,0.12828433664922656,0.031901276302243764
