frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,19199.406,0.0,0.0,-0.9494924545288086,0.0,0.0,0.0,0.10683175921440125,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.6730222702026367,0.0,0.0
2,19199.468,0.0,0.0,-0.9440606832504272,0.0,0.0,0.0,0.09623102098703384,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.6479310989379883,0.0,0.0
3,19199.5,0.0,0.0,-0.9403974413871765,0.0,0.0,0.0,0.09173790365457535,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.6479310989379883,0.0,0.0
4,19199.578,0.0,0.0,-0.9353347420692444,0.0,0.0,0.0,0.08602172136306763,0.15,0.0,trajectory,STRAIGHT,3.6277949810028076,0.0,0.0
5,19199.625,9.643015346227912e-07,7.635403347529182e-19,-0.9315571784973145,1.1740813683595904e-11,0.0001633306674193591,3.049327609840546e-16,0.08190832287073135,0.14998693354660644,-1.1739512963712384e-12,trajectory,STRAIGHT,3.6277949810028076,9.643015346227912e-07,7.635403347529182e-19
6,19199.671,2.9861799703212455e-05,3.1570056144690647e-16,-0.928668200969696,4.696373974754827e-11,0.0016702653374522924,2.6252256458644298e-14,0.07855775207281113,0.14986637877300382,-4.6920901306193006e-12,trajectory,STRAIGHT,3.6277949810028076,2.9861799703212455e-05,3.1570056144690647e-16
7,19199.765,0.00027318327920511365,8.62998247760623e-15,-0.9239018559455872,7.044618682892428e-11,0.00646597146987915,3.036926179283972e-13,0.07282736152410507,0.14948272228240966,-7.03141237580611e-12,trajectory,STRAIGHT,3.5939502716064453,0.00027318327920511365,8.62998247760623e-15
8,19199.859,0.001541411504149437,9.713952732470776e-14,-0.9167084693908691,-1.5029900243404216e-10,0.018233029171824455,1.491883548122852e-12,0.06444443762302399,0.14854135766625404,2.1708023456585243e-11,trajectory,STRAIGHT,3.5939502716064453,0.001541411504149437,9.713952732470776e-14
9,19199.875,0.0015966745559126139,1.0167550395373537e-13,-0.9165154695510864,-1.6438922708568951e-10,0.018608970567584038,1.5319891622650461e-12,0.06422692537307739,0.14851128235459327,2.3085191792452065e-11,trajectory,STRAIGHT,3.5939502716064453,0.0015966745559126139,1.0167550395373537e-13
10,19199.984,0.0030233871657401323,2.2381016040028817e-13,-0.9126073718070984,-2.3249342564055858e-10,0.02674414962530136,2.3302254223422914e-12,0.059914011508226395,0.14786046802997588,6.0811911088701284e-12,trajectory,STRAIGHT,3.530909299850464,0.0030233871657401323,2.2381016040028817e-13
11,19200.078,0.006805704440921545,5.558149426820869e-13,-0.9063352942466736,-2.9120120739958564e-10,0.04137289524078369,3.6586558435636185e-12,0.05327661335468292,0.1466901683807373,1.1227577077023553e-11,trajectory,STRAIGHT,3.4986135959625244,0.006805704440921545,5.558149426820869e-13
12,19200.093,0.007969990372657776,6.592061423636719e-13,-0.9049167037010193,-4.062695433950867e-10,0.0448603481054306,4.003374888539302e-12,0.051812704652547836,0.14641117215156554,2.2095048714030367e-11,trajectory,STRAIGHT,3.4986135959625244,0.007969990372657776,6.592061423636719e-13
13,19200.187,0.012016644701361656,1.0321541798335998e-12,-0.9008881449699402,-8.148732134348821e-10,0.054946184158325195,5.296655475328649e-12,0.047725860029459,0.14560430526733398,4.788927478619766e-11,trajectory,STRAIGHT,3.4819960594177246,0.012016644701361656,1.0321541798335998e-12
14,19200.281,0.015526115894317627,1.3915292529365075e-12,-0.8981090188026428,-1.2704364503046365e-09,0.06196323782205582,6.793221801054683e-12,0.04494362324476242,0.14504294097423553,8.989099378554765e-11,trajectory,STRAIGHT,3.4738361835479736,0.015526115894317627,1.3915292529365075e-12
15,19200.312,0.019034283235669136,1.8107623690408192e-12,-0.895746111869812,-1.6484992237327093e-09,0.06790639460086823,8.877639075255406e-12,0.04259473457932472,0.14456748843193054,2.7520330688400675e-11,trajectory,STRAIGHT,3.470472812652588,0.019034283235669136,1.8107623690408192e-12
16,19200.375,0.02263360656797886,2.332691114922958e-12,-0.8936275243759155,-2.0523880540153018e-09,0.07318471372127533,1.1760373057334572e-11,0.04050244018435478,0.14414522290229798,6.368520687077034e-11,trajectory,STRAIGHT,3.470472812652588,0.02263360656797886,2.332691114922958e-12
17,19200.406,0.02487373538315296,2.717666586563028e-12,-0.8924300670623779,-2.3294740635800932e-09,0.07613477110862732,1.3976213415756167e-11,0.039323583245277405,0.14390921831130982,8.828722883464441e-11,trajectory,STRAIGHT,3.4694573879241943,0.02487373538315296,2.717666586563028e-12
18,19200.484,0.029856503009796143,3.781790419016273e-12,-0.8900277018547058,-2.9517353851025104e-09,0.08196201920509338,2.0192030339427625e-11,0.03696572035551071,0.14344303846359252,3.96791608041417e-11,trajectory,STRAIGHT,3.4694573879241943,0.029856503009796143,3.781790419016273e-12
