frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,cmd_vz,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,8358.078,1.2288860082626343,-2.040875415332266e-07,-0.9731534123420715,3.3049921361490204e-07,0.0,0.0,0.13484978675842285,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.66365647315979,0.0,0.0
2,8358.203,1.2288860082626343,-2.040875415332266e-07,-0.9605413675308228,3.3049921361490204e-07,0.0,0.0,0.10122371464967728,0.14999999999999253,-7.891981008118548e-08,-0.011249779245174495,trajectory,GOAL_DIRECT,3.712127685546875,0.0,0.0
3,8358.296,1.2288968563079834,-2.0408390355441952e-07,-0.9526143074035645,3.3043589036733194e-07,0.0008885647403076291,2.9364871645398694e-10,0.08372325450181961,0.14992891482076792,-7.891348589878412e-08,-0.010799945191187005,trajectory,GOAL_DIRECT,3.6933066844940186,1.0848045349121094e-05,3.4772110647673486e-12
4,8358.375,1.2291412353515625,-2.0400324274305603e-07,-0.946670651435852,3.3045237406885486e-07,0.006200575735419989,2.048740066484811e-09,0.07522857934236526,0.1495039539411589,-7.891510157338122e-08,-0.010417553976816277,trajectory,GOAL_DIRECT,3.6680824756622314,0.00025522708892822266,8.051633152973802e-11
5,8358.453,1.2299437522888184,-2.0373812503748923e-07,-0.941559910774231,3.3054392343810877e-07,0.014794563874602318,4.887962479216412e-09,0.049635037779808044,0.14881643489002427,-7.89185186515691e-08,-0.009234731167801151,trajectory,GOAL_DIRECT,3.6103789806365967,0.001057744026184082,3.337407575215178e-10
6,8358.562,1.2311935424804688,-2.0332518602117489e-07,-0.9388436675071716,3.303514219968576e-07,0.023165468126535416,7.653516043149011e-09,0.03495204448699951,0.14814676254986958,-7.889953577420321e-08,-0.008195903867729436,trajectory,GOAL_DIRECT,3.6103789806365967,0.0023075342178344727,7.281579165773012e-10
7,8358.687,1.2351583242416382,-2.020154425963483e-07,-0.9352235198020935,3.2992637288990193e-07,0.0397656187415123,1.3137235299609529e-08,0.024007773026823997,0.14681875050067136,-7.885514486900266e-08,-0.007845086448739852,trajectory,GOAL_DIRECT,3.561260223388672,0.006272315979003906,1.9791433816020694e-09
8,8358.781,1.2386527061462402,-2.00861066446123e-07,-0.9335253238677979,3.295952232918952e-07,0.049753692001104355,1.6436400684938235e-08,0.01966402493417263,0.146019704639904,-7.878272073917069e-08,-0.007741472831822959,trajectory,GOAL_DIRECT,3.5393543243408203,0.009766697883605957,3.081732885335555e-09
9,8358.875,1.2413501739501953,-1.9996993216864212e-07,-0.9325876235961914,3.291842238400319e-07,0.05598479136824608,1.8494690223747057e-08,0.017139127478003502,0.1455212166905326,-7.874428614970788e-08,-0.00758636604890975,trajectory,GOAL_DIRECT,3.532097578048706,0.012464165687561035,3.932890762010775e-09
10,8358.984,1.2503762245178223,-1.9698788378263998e-07,-0.9306187033653259,3.271974437591816e-07,0.0716477558016777,2.3671649529433125e-08,0.010953865945339203,0.14426817953585805,-7.848501650856889e-08,-0.007305744806686604,trajectory,GOAL_DIRECT,3.532076358795166,0.02149021625518799,6.78117331968509e-09
11,8359.109,1.2591792345046997,-1.9407902129842114e-07,-0.9296224117279053,3.2586356508498196e-07,0.08251599967479706,2.7272403002598367e-08,0.006614117883145809,0.14339872002600854,-7.811898102423398e-08,-0.0070948433959443615,trajectory,GOAL_DIRECT,3.5358543395996094,0.03029322624206543,9.559575431025442e-09
12,8359.218,1.2640223503112793,-1.924780548279159e-07,-0.9293025135993958,3.2502785251455344e-07,0.08735255897045135,2.8879613367394086e-08,0.0046317982487380505,0.14301179528235625,-7.789294305519382e-08,-0.006996004231397243,trajectory,GOAL_DIRECT,3.541416645050049,0.03513634204864502,1.1088767054636033e-08
13,8359.281,1.2727670669555664,-1.895861458933723e-07,-0.9290085434913635,3.2365657269047567e-07,0.0946488156914711,3.131408377043954e-08,0.0015440343413501978,0.14242809474467463,-7.777806349199142e-08,-0.006763681624207826,trajectory,GOAL_DIRECT,3.547943115234375,0.04388105869293213,1.3851079522081332e-08
14,8359.359,1.277684211730957,-1.8795900302848167e-07,-0.9289689064025879,3.2300383480269665e-07,0.09812436252832413,3.247984636800538e-08,2.4383967684116215e-05,0.14215005099772646,-7.746284425539575e-08,-0.006671049073415919,trajectory,GOAL_DIRECT,3.547943115234375,0.048798203468322754,1.5405350432736848e-08
15,8359.39,1.2806570529937744,-1.8697480186347093e-07,-0.9289811253547668,3.2264451654001104e-07,0.1000455915927887,3.3126589471521584e-08,-0.0008326536626555026,0.14199635267256927,-7.743456229092648e-08,-0.006601875115379802,trajectory,GOAL_DIRECT,3.554743528366089,0.05177104473114014,1.6345494169636768e-08
16,8359.468,1.2855297327041626,-1.8536096035859373e-07,-0.9290529489517212,3.2205980383846874e-07,0.10293745249509811,3.410395166270064e-08,-0.0021495793480426073,0.1417650038003845,-7.738936771874686e-08,-0.006492929880701117,trajectory,GOAL_DIRECT,3.554743528366089,0.05664372444152832,1.7887122691354534e-08
17,8359.609,1.2956663370132446,-1.8200029217041447e-07,-0.9293785691261292,3.206742674713387e-07,0.10810957103967667,3.586712793435254e-08,-0.004595823585987091,0.14135123431681829,-7.710441259070276e-08,-0.0062789992960120364,trajectory,GOAL_DIRECT,3.561453342437744,0.06678032875061035,2.109756667442033e-08
18,8359.718,1.3127480745315552,-1.7632534365930042e-07,-0.9303507804870605,3.174391532337883e-07,0.11490550637245178,3.8230471233191565e-08,-0.0080198273062706,0.14080755949019624,-7.685389762830235e-08,-0.005956468430342787,trajectory,GOAL_DIRECT,3.568026304244995,0.0838620662689209,2.6519364291763583e-08
