frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,cmd_vz,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,99723.718,0.0,0.0,-0.9430814385414124,0.0,0.0,0.0,0.09344793111085892,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.688375473022461,0.0,0.0
2,99724.0,0.0,0.0,-0.9274018406867981,0.0,0.0,0.0,0.0742819532752037,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.637805461883545,0.0,0.0
3,99724.156,0.0,0.0,-0.9136209487915039,0.0,0.0,0.0,0.05524390563368797,0.15,0.0,-0.011238006646923336,trajectory,STRAIGHT,3.6062331199645996,0.0,0.0
4,99724.39,1.3895386473450344e-05,-4.404962019669283e-16,-0.9080806374549866,-9.392698601160998e-11,0.0010361499153077602,-4.60732356942755e-14,0.03994646668434143,0.14991710800677538,9.388512199371562e-12,-0.010979786447615261,trajectory,STRAIGHT,3.591251850128174,1.3895386473450344e-05,4.404962019669283e-16
5,99724.546,0.0020857383497059345,-4.764100355533762e-13,-0.9020280241966248,-1.326804009031806e-09,0.02173033356666565,-7.436206164723735e-12,0.019609099254012108,0.14826157331466674,1.3073965030398768e-10,-0.010260606627662195,trajectory,STRAIGHT,3.5649428367614746,0.0020857383497059345,4.764100355533762e-13
6,99724.703,0.005093853455036879,-1.8362175929070856e-12,-0.9003978371620178,-2.0360165688736774e-09,0.03563764691352844,-1.941291398466216e-11,0.010697309859097004,0.14714898824691772,1.8910657406764324e-10,-0.009872471999564559,trajectory,STRAIGHT,3.501117706298828,0.005093853455036879,1.8362175929070856e-12
7,99724.937,0.014310352504253387,-8.487993294337137e-12,-0.8994647264480591,-3.031692907591879e-09,0.05982300639152527,-5.1178332405310556e-11,0.00013049860717728734,0.14521415948867797,1.5716898843623075e-10,-0.009339579212833371,trajectory,STRAIGHT,3.4630935192108154,0.014310352504253387,8.487993294337137e-12
8,99725.078,0.022075466811656952,-1.5705573994106992e-11,-0.8997067809104919,-3.935758331093112e-09,0.07263214141130447,-7.203533602950785e-11,-0.0043504624627530575,0.14418942868709564,1.6757138166687806e-10,-0.009040588208304183,trajectory,STRAIGHT,3.4629478454589844,0.022075466811656952,1.5705573994106992e-11
9,99725.421,0.03910982608795166,-3.3809573196652565e-11,-0.9012592434883118,-5.126257918549776e-09,0.09107036888599396,-1.0014342133324305e-10,-0.0102952616289258,0.14271437048912047,1.6993926703748476e-10,-0.008528358096706027,trajectory,STRAIGHT,3.4756126403808594,0.03910982608795166,3.3809573196652565e-11
10,99725.671,0.0600384920835495,-5.64550871329228e-11,-0.9003671407699585,-6.0454846645030995e-09,0.10420041531324387,-1.0723093940567807e-10,0.04543065279722214,0.14166396677494048,1.5028021007251213e-10,-0.013020406722305974,trajectory,STRAIGHT,3.4944419860839844,0.0600384920835495,5.64550871329228e-11
