frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,cmd_vz,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,9512.546,14.879107475280762,0.029862381517887115,-0.8843030333518982,-0.00013893264202701156,0.0,0.0,0.07077500969171524,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.5668272972106934,0.0,0.0
2,9512.859,14.879107475280762,0.029862381517887115,-0.8689672946929932,-0.00013893264202701156,0.0,0.0,0.037689488381147385,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.541858196258545,0.0,0.0
3,9513.109,14.879107475280762,0.029862381517887115,-0.8652417063713074,-0.00013893264202701156,0.0,0.0,0.01897255703806877,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.4982800483703613,0.0,0.0
4,9513.421,14.879107475280762,0.029862381517887115,-0.8638185858726501,-0.00013893264202701156,0.0,0.0,-0.0024868163745850325,0.08462767068842507,-0.020891909718312205,-0.011690882496762511,trajectory,STRAIGHT,3.483379602432251,0.0,0.0
5,9513.703,14.879201889038086,0.029837341979146004,-0.864824652671814,-0.00013613565882409718,0.002729697385802865,-0.0006926979986019433,-0.012206677347421646,0.08456152023811707,-0.020874627740602853,-0.01170005606561566,trajectory,STRAIGHT,3.477485179901123,9.766346622797073e-05,1.6677091427708568e-06
6,9514.031,14.880548477172852,0.029501907527446747,-0.8676726818084717,-0.00013295068007676634,0.013747542165219784,-0.0034059472382068634,-0.02052544802427292,0.08361881084907044,-0.02064021827389292,-0.01091046759681001,trajectory,STRAIGHT,3.4746389389038086,0.0014853984086019706,4.391547392268343e-06
7,9514.515,14.88489818572998,0.028426775708794594,-0.872424304485321,-0.00013408323613282614,0.028762290254235268,-0.007101708557456732,-0.026234319433569908,0.08057393735259377,-0.0198879395606962,-0.01009110740158541,trajectory,STRAIGHT,3.4515159130096436,0.005966009109626871,5.056014510454902e-06
8,9514.875,14.889729499816895,0.02723379246890545,-0.8754634857177734,-0.00013672641567695788,0.03783917799592018,-0.009334461763501167,0.011570032685995102,0.0771919559118532,-0.01905310072690618,-0.012754832087693416,trajectory,STRAIGHT,3.4376251697540283,0.010942434008464758,5.056014510454902e-06
9,9515.14,14.901482582092285,0.02433283068239689,-0.869295060634613,-0.0001388567735602026,0.05054103583097458,-0.012475203722715378,0.018731027841567993,0.06896455701540785,-0.0170234054459473,-0.013502669285599362,trajectory,STRAIGHT,3.4549007415771484,0.023048239190711625,5.056014510454902e-06
10,9515.421,14.906832695007324,0.023012293502688408,-0.8679181337356567,-0.00013974889242850905,0.05419086664915085,-0.013376154936850071,0.007424759678542614,-0.12,0.12,0.0,recovery,STRAIGHT,3.4604029655456543,0.028558913002585035,5.056014510454902e-06
11,9515.718,14.918456077575684,0.020212268456816673,-0.8680814504623413,-0.0001152154682932713,0.05449061840772629,-0.011301406659185886,-0.008851832710206509,-0.12,0.12,0.0,recovery,STRAIGHT,3.4593026638031006,0.04051457038627525,6.758774374374708e-05
12,9516.203,14.927228927612305,0.019609374925494194,-0.8712161183357239,-6.774437082834825e-05,0.030614836141467094,0.006751901935786009,-0.021217087283730507,-0.12,0.12,0.0,recovery,STRAIGHT,3.4670724868774414,0.04915934595609629,0.0015860869461490794
13,9516.562,14.930477142333984,0.023182019591331482,-0.8762502670288086,-7.960849091947833e-05,0.0014764477964490652,0.02805768884718418,-0.026586195454001427,0.04866729205191618,-0.016223539435667175,-0.00971605148051663,trajectory,STRAIGHT,3.3983001708984375,0.05124018681693489,0.005833431147573958
14,9516.875,14.928297996520996,0.030689099803566933,-0.8817217350006104,-0.00015128683781554143,-0.018527794629335403,0.04213287681341171,-0.025730032473802567,0.05019465186071256,-0.021474776318124757,-0.003855510652065277,trajectory,GOAL_DIRECT,3.3938982486724854,0.04653258173379751,0.012598880277794766
15,9517.359,14.92491626739502,0.03850557655096054,-0.8866540789604187,-0.00015015390662863158,-0.014471220783889294,0.037464968860149384,-0.026648689061403275,0.052562659464895016,-0.026946011400805613,-0.0035354009270668037,trajectory,GOAL_DIRECT,3.404175043106079,0.04014460729557738,0.019376308630557396
16,9517.671,14.92337417602539,0.043462835252285004,-0.8896892070770264,-0.00015317261377261824,-0.006543187890201807,0.02999197691679001,0.018807396292686462,0.05364273627423838,-0.03041576843531168,-0.007020131349563599,trajectory,GOAL_DIRECT,3.498002052307129,0.03643226088003319,0.023819110064039504
17,9517.953,14.923096656799316,0.04777488857507706,-0.8837754130363464,-0.00015411458777687625,0.003448603907600045,0.020309019833803177,0.03526369854807854,0.05383749356624509,-0.03343412525651095,-0.008632325232028962,trajectory,GOAL_DIRECT,3.4892733097076416,0.03399128113460685,0.027938787652901826
18,9518.14,14.923810005187988,0.04963524639606476,-0.8802698254585266,-0.00015733530780469833,0.009710598737001419,0.014172902330756187,0.028962096199393272,0.0533384622720113,-0.034736280883838434,-0.008303476423025133,trajectory,GOAL_DIRECT,3.4744162559509277,0.033594465238849125,0.02991592753162002
19,9518.484,14.925930976867676,0.05116391181945801,-0.8771880865097046,-0.0001625615634003536,0.017797304317355156,0.005919684190303087,0.01204484049230814,0.05185413760736925,-0.03580630925709295,-0.007104182913899422,trajectory,GOAL_DIRECT,3.4692256450653076,0.03450412837912699,0.031908613158994396
20,9518.781,14.932247161865234,0.05103880167007446,-0.876607358455658,-0.0001704025397465752,0.02883485145866871,-0.006346581038087606,-0.0068760528229177,0.047433074004738306,-0.035719078971400746,-0.005619547851383686,trajectory,GOAL_DIRECT,3.4561965465545654,0.039700418263190235,0.033301826000462754
21,9519.031,14.937424659729004,0.0494781956076622,-0.8784196376800537,-0.0001744205015806885,0.033625222742557526,-0.012369439005851746,-0.014814453199505806,0.043808778531558616,-0.03462709630299878,-0.00489386186003685,trajectory,GOAL_DIRECT,3.457624673843384,0.044752949245775026,0.033301826000462754
22,9519.296,14.941940307617188,0.04762467369437218,-0.8805726170539856,-0.00017693592337769654,0.03620525076985359,-0.016241056844592094,-0.01837746985256672,-0.12,0.12,0.0,recovery,STRAIGHT,3.466041326522827,0.049432634836824155,0.033301826000462754
23,9519.593,14.948945045471191,0.044340211898088455,-0.8846991658210754,-0.00015466743605527383,0.03015359304845333,-0.012806008569896221,-0.024118898436427116,-0.12,0.12,0.0,recovery,STRAIGHT,3.479659080505371,0.05690469254498465,0.033301826000462754
24,9519.828,14.952534675598145,0.04350180923938751,-0.8890975713729858,-0.00013192680026361388,0.01013205386698246,0.004094697069376707,-0.026505833491683006,-0.12,0.12,0.0,recovery,STRAIGHT,3.487752914428711,0.06014165478996765,0.033301826000462754
