frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,116757.578,0.0,0.0,-0.9810771942138672,0.0,0.0,0.0,0.13066749274730682,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.6701552867889404,0.0,0.0
2,116757.703,0.0,0.0,-0.9755894541740417,0.0,0.0,0.0,0.1210281103849411,0.15,0.0,trajectory,STRAIGHT,3.7238025665283203,0.0,0.0
3,116757.812,7.00243836035952e-05,1.5508171647766111e-15,-0.9605787396430969,1.432403572852266e-10,0.002797267399728298,9.805645743076949e-14,0.07996479421854019,0.14977621860802173,-1.429897776852024e-11,trajectory,STRAIGHT,3.7067744731903076,7.00243836035952e-05,1.5508171647766111e-15
4,116757.921,0.0006673068855889142,6.352617677772912e-14,-0.9538007974624634,6.645635190567058e-10,0.01111932285130024,1.7703662971366163e-12,0.07108341157436371,0.14911045417189597,-5.164929009485409e-11,trajectory,STRAIGHT,3.683668851852417,0.0006673068855889142,6.352617677772912e-14
5,116758.015,0.0018323769327253103,3.395065261910246e-13,-0.9486985802650452,1.084923911416826e-09,0.020146017894148827,6.104998884898238e-12,0.06513447314500809,0.1483883185684681,-9.275079733011013e-11,trajectory,STRAIGHT,3.614248514175415,0.0018323769327253103,3.395065261910246e-13
6,116758.046,0.0026409609708935022,6.142089874899836e-13,-0.9464002251625061,1.256356181774273e-09,0.024796029552817345,9.27074042533782e-12,0.06257746368646622,0.1480163176357746,-1.5318557959446724e-11,trajectory,STRAIGHT,3.614248514175415,0.0026409609708935022,6.142089874899836e-13
7,116758.109,0.0041718753054738045,1.2692634486846655e-12,-0.9431182146072388,1.5123307175191379e-09,0.03191722556948662,1.5215967374970774e-11,0.05902924761176109,0.14744662195444105,-3.983557211547106e-11,trajectory,STRAIGHT,3.614248514175415,0.0041718753054738045,1.2692634486846655e-12
8,116758.203,0.005517215933650732,1.9596553112871673e-12,-0.9408629536628723,1.6743688786478005e-09,0.037067972123622894,2.02888157663228e-11,0.0566449798643589,0.14703456223011016,-5.5147402174844834e-11,trajectory,STRAIGHT,3.572486162185669,0.005517215933650732,1.9596553112871673e-12
9,116758.328,0.012022625654935837,6.32916895976221e-12,-0.933430552482605,2.4774949933510468e-09,0.05493978410959244,4.250384072479463e-11,0.04900655522942543,0.1456048172712326,-7.16491148863535e-11,trajectory,STRAIGHT,3.5508761405944824,0.012022625654935837,6.32916895976221e-12
10,116758.421,0.017246093600988388,1.0681153010672073e-11,-0.9293479323387146,3.5905796972321645e-09,0.06498657166957855,5.747901113406506e-11,0.0449153371155262,0.1448010742664337,-1.7421304833037308e-10,trajectory,STRAIGHT,3.540154218673706,0.017246093600988388,1.0681153010672073e-11
11,116758.546,0.024425886571407318,1.7366731316914574e-11,-0.9249905347824097,4.9032315069930985e-09,0.07556960731744766,7.296115794863667e-11,0.040596503764390945,0.14395443141460418,-1.0460739036638357e-10,trajectory,STRAIGHT,3.5351061820983887,0.024425886571407318,1.7366731316914574e-11
12,116758.64,0.03160625696182251,2.4390307482025086e-11,-0.9214941263198853,6.0256537634354175e-09,0.0838223546743393,8.224278896795667e-11,0.03715584799647331,0.14329421162605285,-2.0239804899274534e-10,trajectory,STRAIGHT,3.533245801925659,0.03160625696182251,2.4390307482025086e-11
