frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,cmd_vz,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,70578.25,0.0,0.0,-0.8355735540390015,0.0,0.0,0.0,0.08041725307703018,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.1476187705993652,0.0,0.0
2,70578.437,0.0,0.0,-0.8269045948982239,0.0,0.0,0.0,-0.0093201519921422,0.1462038853783851,-0.043429179471169865,-0.015129838611435176,trajectory,SOFT_LEFT,3.147529363632202,0.0,0.0
3,70578.515,2.4373162887059152e-05,-8.134457857522648e-06,-0.8284990787506104,4.457359240119605e-06,0.0014547832543030381,-0.0004667580360546708,-0.02746371179819107,0.1460875028844827,-0.04339146762306646,-0.013979321341152751,trajectory,SOFT_LEFT,3.1476311683654785,2.0765255243304637e-05,1.5133556839621289e-05
4,70578.546,6.750672037014738e-05,-2.1601226762868464e-05,-0.8291100263595581,6.23442659937707e-06,0.0026932761538773775,-0.0008281856426037848,-0.030591819435358047,0.1459884236991401,-0.043361382406203935,-0.013698525349732003,trajectory,SOFT_LEFT,3.1476311683654785,5.779513783465973e-05,4.103035667536078e-05
5,70578.625,0.000492578255943954,-0.00015050696674734354,-0.8316546082496643,1.4360520717080755e-05,0.00909940991550684,-0.002737503033131361,-0.0367700569331646,0.14547593573017714,-0.04319654386721219,-0.013077037255402171,trajectory,SOFT_LEFT,3.1475348472595215,0.00042386822003948055,0.00029260999500814195
6,70578.656,0.0008127455366775393,-0.00024666887475177646,-0.8327882289886475,1.6824356314504743e-05,0.012289758771657944,-0.0036848955787718296,-0.03856194019317627,0.1452207096364713,-0.043124999298321864,-0.012668411808296918,trajectory,SOFT_LEFT,3.1472911834716797,0.0006998783907619099,0.00048121457832508806
7,70578.781,0.001997044077143073,-0.0006005394388921559,-0.8356326222419739,2.0299848816661175e-05,0.020763590931892395,-0.006191398482769728,-0.040603045374155045,0.1445428081589322,-0.04288941755257536,-0.012362903731152293,trajectory,SOFT_LEFT,3.1472911834716797,0.0017213878502317925,0.0011771165699714366
8,70578.843,0.005396536085754633,-0.0016120406799018383,-0.8407951593399048,2.0415863982904595e-05,0.03595271706581116,-0.01068427599966526,-0.0445636622607708,0.1433276854640177,-0.04247323313080338,-0.011613235626115024,trajectory,SOFT_LEFT,3.145965337753296,0.004654833326384278,0.003170609008472833
9,70578.89,0.006894747726619244,-0.002057143719866872,-0.8425388932228088,1.94485497439189e-05,0.04085727781057358,-0.01213523093611002,-0.04419645667076111,0.14293532203516882,-0.04231254291037529,-0.011555425379170595,trajectory,SOFT_LEFT,3.145965337753296,0.005947829164121288,0.004048523633176978
10,70578.968,0.009713240899145603,-0.002893970347940922,-0.8452694416046143,1.7273234038190292e-05,0.04857151582837105,-0.014416509307920933,-0.04286007955670357,0.14231818403427435,-0.04219188799220991,-0.011222523727379374,trajectory,SOFT_LEFT,3.1445953845977783,0.008380372983687323,0.005699596342974933
11,70579.0,0.011224135756492615,-0.0033423544373363256,-0.8465580940246582,1.6106514172637218e-05,0.05213681235909462,-0.01547044888138771,-0.04291633144021034,0.142032960324199,-0.04206261635652868,-0.011153590955696634,trajectory,SOFT_LEFT,3.1445953845977783,0.009684412364286743,0.006584478882453098
12,70579.062,0.014559674076735973,-0.00433187372982502,-0.8491047620773315,1.3583725966087267e-05,0.05898293852806091,-0.017494402825832367,-0.042200420051813126,0.1414852693077096,-0.04180149715530677,-0.011083530464134746,trajectory,SOFT_LEFT,3.1445953845977783,0.012563331710403247,0.008537654106215266
13,70579.109,0.01713356003165245,-0.005095199216157198,-0.8508833646774292,1.1835753357140364e-05,0.06354396045207977,-0.018842842429876328,-0.04224688187241554,0.14112038638411356,-0.04184518268032863,-0.010702547524810074,trajectory,SOFT_LEFT,3.1428287029266357,0.014784880528416977,0.010044601217894253
14,70579.171,0.0215529203414917,-0.006405436433851719,-0.8536567687988281,9.162439631555903e-06,0.07028660178184509,-0.020834963768720627,-0.04184086248278618,0.14058097250800128,-0.04155452898499281,-0.010596358869910475,trajectory,SOFT_LEFT,3.1428287029266357,0.01859927900395064,0.012631654635997929
15,70579.203,0.02348615974187851,-0.006978475954383612,-0.8547889590263367,8.141077427563215e-06,0.07289731502532959,-0.02160688303411007,-0.04192688316106796,0.14037211424881657,-0.04143537321809623,-0.010532867704272506,trajectory,SOFT_LEFT,3.1407296657562256,0.020267868909037645,0.013763240256537886
16,70579.312,0.030660228803753853,-0.009104524739086628,-0.858625054359436,4.920738502098375e-06,0.08121602982282639,-0.024064037948846817,-0.04127535969018936,0.1397066124656646,-0.04129109616387702,-0.010143567000359732,trajectory,SOFT_LEFT,3.1407296657562256,0.026459734549987957,0.01796202191512195
17,70579.39,0.03803250938653946,-0.011288465932011604,-0.8622409105300903,2.4385750779913597e-06,0.088112972676754,-0.026097247377038002,-0.04110307991504669,0.1391548526554734,-0.04090981349008214,-0.009976556573838431,trajectory,SOFT_LEFT,3.1377756595611572,0.03282252200420288,0.022276003095076533
18,70579.437,0.04207147657871246,-0.01248461939394474,-0.8640806078910828,1.3346119513970939e-06,0.0913548395037651,-0.02705255337059498,-0.040265534073114395,0.13889550110646337,-0.041145239900610885,-0.009624327765784708,trajectory,SOFT_LEFT,3.1348347663879395,0.03630835601055793,0.024639133092085146
19,70579.5,0.047674600034952164,-0.014143580570816994,-0.8664506673812866,2.6622916057080355e-08,0.09535278379917145,-0.0282279085367918,-0.038888558745384216,0.13857566273457222,-0.04088519550510045,-0.009615982817492931,trajectory,SOFT_LEFT,3.1348347663879395,0.04114405811603916,0.02791702143103899
20,70579.531,0.05056353285908699,-0.014998768456280231,-0.8676153421401978,-5.46789038091659e-07,0.0972236692905426,-0.02877901680767536,-0.03865571320056915,0.13842599057625887,-0.04075553626198896,-0.00957637672313258,trajectory,SOFT_LEFT,3.131624937057495,0.04363726887918773,0.029606924865594263
21,70579.64,0.060781508684158325,-0.01802285946905613,-0.8714793920516968,-2.18211359246371e-06,0.10297661274671555,-0.03047100268304348,-0.03783191367983818,0.13796575103937228,-0.040688947917036276,-0.009213063517833077,trajectory,SOFT_LEFT,3.131624937057495,0.052455287562651165,0.03558338366511731
22,70579.734,0.07057344913482666,-0.020919743925333023,-0.874966025352478,-3.3009898596539717e-06,0.10748694837093353,-0.03179340809583664,-0.036885567009449005,0.1376049211127798,-0.04029337067927909,-0.00911443958642515,trajectory,SOFT_LEFT,3.1281931400299072,0.0609052322979835,0.041309590335591756
23,70579.765,0.07381811738014221,-0.021879425272345543,-0.8760730028152466,-3.599202988475923e-06,0.10880818217992783,-0.03218064829707146,-0.03669993206858635,0.1374992215380724,-0.04075876234745909,-0.008751141032404132,trajectory,SOFT_LEFT,3.1237432956695557,0.06370512459054112,0.04320680999320024
24,70579.906,0.08108988404273987,-0.02402976155281067,-0.8784319162368774,-4.179959581045108e-06,0.1114969551563263,-0.03296654671430588,-0.03508414700627327,0.13728411794205028,-0.04048080833918492,-0.008762458166307635,trajectory,SOFT_LEFT,3.1237432956695557,0.0699799280944049,0.04745832502310142
25,70580.0,0.09577476978302002,-0.028371410444378853,-0.882982611656189,-5.016845635115348e-06,0.11601746082305908,-0.03430107608437538,-0.035182274878025055,0.13692247474600083,-0.03993981549503405,-0.008527073165601917,trajectory,SOFT_LEFT,3.115791082382202,0.08265052520584248,0.05604321387580164
26,70580.015,0.10137923061847687,-0.03002837672829628,-0.8846728801727295,-5.2507113075062055e-06,0.11747833341360092,-0.03473222628235817,-0.03530154749751091,0.12171790463724984,-0.09187542526015632,-0.008080974752566231,trajectory,LEFT,3.111677646636963,0.08748580630336988,0.05931960600320487
27,70580.125,0.10776412487030029,-0.03191739320755005,-0.886512279510498,-6.1967916010368375e-06,0.11894068121910095,-0.035326987504959106,-0.032845206558704376,0.12160091388925609,-0.09163886537052325,-0.008185512060782326,trajectory,LEFT,3.111677646636963,0.0929937181684437,0.0630534952100307
28,70580.25,0.11999284476041794,-0.035664647817611694,-0.8898016810417175,-9.480808263300818e-06,0.12064153701066971,-0.0384712778031826,-0.031836044043302536,0.12146483376019554,-0.09136702828713583,-0.007946771915517839,trajectory,LEFT,3.1075375080108643,0.10350256821037362,0.07032808548591575
29,70580.312,0.13489727675914764,-0.04072524607181549,-0.8937086462974548,-1.252487104379466e-05,0.12155009806156158,-0.04398777708411217,-0.03112698160111904,0.12139213398025872,-0.09079443453752448,-0.007663696717602456,trajectory,LEFT,3.1026906967163086,0.11615894884893407,0.07966465027935143
30,70580.437,0.14037074148654938,-0.04275383800268173,-0.8950925469398499,-1.3222944906821007e-05,0.12169790267944336,-0.04617353156208992,-0.030009571462869644,0.12138030484221032,-0.09041666273349,-0.007683894496542656,trajectory,LEFT,3.097761392593384,0.12075452530109487,0.08325554717175072
31,70580.531,0.15900658071041107,-0.05038550868630409,-0.8995040655136108,-1.4405883960993352e-05,0.12183050066232681,-0.053514666855335236,-0.02838314324617386,0.12136968417365859,-0.08977538280065689,-0.007361087887740347,trajectory,LEFT,3.097761392593384,0.13617822160104964,0.09617245819012203
32,70580.546,0.16193045675754547,-0.051683101803064346,-0.9001860022544861,-1.4489503916562208e-05,0.12182031571865082,-0.05461256951093674,-0.02845536172389984,0.12137049733852755,-0.09032104279712083,-0.007127484601301672,trajectory,LEFT,3.094095468521118,0.1385672279449679,0.09829457475885156
33,70580.64,0.16887329518795013,-0.05486821010708809,-0.9017501473426819,-1.4607429807572997e-05,0.1217791810631752,-0.05712142586708069,-0.02645791321992874,0.12137378466392763,-0.08980182333706446,-0.0072090732272095705,trajectory,LEFT,3.094095468521118,0.14420789305748372,0.10343266038095608
34,70580.718,0.18165457248687744,-0.0610949732363224,-0.9044656157493591,-1.4676386495106052e-05,0.12166251242160797,-0.06140114739537239,-0.025364680215716362,0.12138311281528169,-0.08928505714033352,-0.007062123223389158,trajectory,LEFT,3.088249444961548,0.15447954566282363,0.11323766238439156
35,70580.765,0.18676342070102692,-0.06370721757411957,-0.9055219292640686,-1.4656485055404417e-05,0.12161121517419815,-0.0629742220044136,-0.024701403453946114,0.12138721484836934,-0.08889799587001536,-0.007062369688595303,trajectory,LEFT,3.088249444961548,0.1585470046275006,0.11727438592324697
36,70580.796,0.19114075601100922,-0.06599759310483932,-0.9063982963562012,-1.4615547507654355e-05,0.12156905978918076,-0.06425626575946808,-0.023983560502529144,0.12139058598638365,-0.08856640465046396,-0.007075978770102033,trajectory,LEFT,3.0860157012939453,0.1620158392647042,0.1207828263046085
37,70580.921,0.19843311607837677,-0.06991399824619293,-0.9078096747398376,-1.4529836666028804e-05,0.12150654196739197,-0.0662597119808197,-0.023167399689555168,0.12139558552393113,-0.08912741295201633,-0.006866582272802424,trajectory,LEFT,3.0860157012939453,0.16776328771793203,0.1267237167623829
38,70581.0,0.21482932567596436,-0.0791335254907608,-0.9109208583831787,-1.4436953736891118e-05,0.12140004336833954,-0.07019954174757004,-0.022835146635770798,0.12140410135386186,-0.08789030540183873,-0.006737603334938121,trajectory,LEFT,3.0841965675354004,0.1805564429300972,0.14047568236442987
39,70581.046,0.2199275940656662,-0.08210496604442596,-0.9118748307228088,-1.4412631034819075e-05,0.12137048691511154,-0.07128256559371948,-0.02230692468583584,0.12140646475797397,-0.08882007064415195,-0.006533557101692346,trajectory,LEFT,3.0827476978302,0.18450147330586475,0.14485153127636471
40,70581.125,0.22902899980545044,-0.08751875907182693,-0.9134944081306458,-1.4369690084455939e-05,0.12132963538169861,-0.07305043935775757,-0.02108675241470337,0.1214097310932121,-0.0881372781836277,-0.006550192012991099,trajectory,LEFT,3.0827476978302,0.19150963097558105,0.15276734046728538
