frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,119275.828,0.0,0.0,-0.9654183387756348,0.0,0.0,0.0,0.13643117249011993,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.648846387863159,0.0,0.0
2,119275.859,0.0,0.0,-0.9593900442123413,0.0,0.0,0.0,0.12630602717399597,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.7022151947021484,0.0,0.0
3,119275.953,0.0,0.0,-0.9507434368133545,0.0,0.0,0.0,0.0934939831495285,0.15,0.0,trajectory,STRAIGHT,3.7022151947021484,0.0,0.0
4,119276.046,1.714889549475629e-05,-1.2420474239508333e-17,-0.943962037563324,-9.39274715208918e-12,0.0011839274084195495,-1.5828054699087882e-15,0.08159063756465912,0.14990528580732643,9.384968477065057e-13,trajectory,STRAIGHT,3.6851489543914795,-1.7144013554570847e-05,4.091649863508708e-07
5,119276.078,9.784657595446333e-05,-2.9472439931308456e-16,-0.941098690032959,-1.0566995753881707e-10,0.003426432842388749,-2.2765216632376212e-14,0.07757847011089325,0.1497258853726089,1.05388468182624e-11,trajectory,STRAIGHT,3.6587371826171875,-9.781872108760581e-05,2.3345755954540323e-06
6,119276.156,0.0004843408241868019,-1.314001956965712e-14,-0.9364053606987,-3.3815142469276357e-10,0.009166075848042965,-5.492228850531577e-13,0.07158302515745163,0.14926671393215657,2.3032337989099798e-11,trajectory,STRAIGHT,3.6587371826171875,-0.0004842029437952533,1.1556155704540902e-05
7,119276.265,0.0018919914728030562,-1.8708820571314982e-13,-0.9299095273017883,-5.518548482734363e-10,0.0205167718231678,-3.5335517064444266e-12,0.06399628520011902,0.14835865825414657,4.391505940200297e-11,trajectory,STRAIGHT,3.6231350898742676,-0.0018914528856228685,4.5142071231245677e-05
8,119276.375,0.00416953582316637,-6.965423788966862e-13,-0.9246000647544861,-8.571447795261346e-10,0.03190728276968002,-8.511340070238571e-12,0.058200523257255554,0.1474474173784256,2.8877694354810294e-11,trajectory,STRAIGHT,3.5593621730804443,-0.004168348959183277,9.94832615784053e-05
9,119276.484,0.007973548956215382,-1.9079390845000432e-12,-0.9191278219223022,-1.416052801613447e-09,0.044864848256111145,-1.6253205378791158e-11,0.05248294398188591,0.1464108121395111,8.194847667556484e-11,trajectory,STRAIGHT,3.5267999172210693,-0.007971279480720739,0.00019024531452913293
10,119276.609,0.013200361281633377,-4.023498114541502e-12,-0.9140430688858032,-1.7072360344914734e-09,0.05744515731930733,-2.527627412929334e-11,0.04732390493154526,0.1454043874144554,2.2613845479798253e-11,trajectory,STRAIGHT,3.509937047958374,-0.01319660459034111,0.0003149547197638832
11,119276.703,0.019446711987257004,-6.96050812473703e-12,-0.9095821976661682,-1.6320777104932339e-09,0.06854037195444107,-3.4028682649456243e-11,0.04287515953183174,0.1445167702436447,1.4008475971916413e-11,trajectory,STRAIGHT,3.5017428398132324,-0.019441178471126364,0.0004639898545173816
12,119276.734,0.020697517320513725,-7.587239864159656e-12,-0.9088172912597656,-1.6485137098322204e-09,0.07042785733938217,-3.560597303109425e-11,0.042116936296224594,0.14436577141284943,-4.939549093938481e-12,trajectory,STRAIGHT,3.498229742050171,-0.020691628066330736,0.000493833510427286
13,119276.812,0.026262495666742325,-1.0502242304977205e-11,-0.9057725071907043,-1.6696398515816893e-09,0.07784822583198547,-4.210565229811891e-11,0.039114393293857574,0.14377214193344115,-4.057430712305032e-12,trajectory,STRAIGHT,3.498229742050171,-0.026255023949765643,0.0006266114050659246
14,119276.921,0.033122170716524124,-1.4340132380163961e-11,-0.9026188254356384,-1.6696332353379806e-09,0.08533000946044922,-4.9239654020816204e-11,0.036018405109643936,0.14317359924316406,-5.24819838995479e-12,trajectory,STRAIGHT,3.4971249103546143,-0.03311274895322924,0.000790280183808086
15,119277.015,0.03975026682019234,-1.8269734683440397e-11,-0.9000142216682434,-1.3620111502958274e-09,0.09130807220935822,-5.5573837198785725e-11,0.03347337618470192,0.14269535422325133,-3.67751043747206e-11,trajectory,STRAIGHT,3.4971911907196045,-0.039738961448804844,0.00094842359224696
16,119277.031,0.04224279150366783,-1.9801851131040493e-11,-0.8991222381591797,-1.2939120597006396e-09,0.09330601245164871,-5.792351667754936e-11,0.032604023814201355,0.1425355190038681,-4.323057445758791e-11,trajectory,STRAIGHT,3.4971911907196045,-0.04223077794714669,0.0010078941162914752
17,119277.125,0.0497332364320755,-2.4595825376394487e-11,-0.8966730237007141,-1.0332607549400134e-09,0.0986473336815834,-6.511171463108312e-11,0.03022690676152706,0.14210821330547332,-2.9305027637009094e-11,trajectory,STRAIGHT,3.4971911907196045,-0.04971909516947193,0.001186612781626865
18,119277.234,0.0585494190454483,-3.064604819913441e-11,-0.8941507935523987,-5.448390021961535e-10,0.10390062630176544,-7.420975639549354e-11,0.02779143676161766,0.14168794989585876,-7.330328328484931e-11,trajectory,STRAIGHT,3.4975833892822266,-0.05853277446582439,0.0013969629546834827
19,119277.343,0.06942611932754517,-3.8853982531339426e-11,-0.8914502859115601,4.0616843135958506e-10,0.10922156274318695,-8.72587280209558e-11,0.025203924626111984,0.14126227498054503,-8.33084863866787e-11,trajectory,STRAIGHT,3.4980647563934326,-0.06940638780434227,0.0016564761567579606
20,119277.437,0.0784246101975441,-4.643398512915731e-11,-0.8894852995872498,1.1857551784420821e-09,0.11288023740053177,-1.0038163356096419e-10,0.023337796330451965,0.14096958100795745,-1.5038551651951557e-10,trajectory,STRAIGHT,3.498384475708008,-0.07840232599875208,0.001871176121854106
21,119277.468,0.08182983100414276,-4.9528953854904856e-11,-0.888795018196106,1.5051037253787923e-09,0.11411988735198975,-1.060228294047505e-10,0.022686094045639038,0.1408704090118408,-8.890029009078293e-12,trajectory,STRAIGHT,3.4984755516052246,-0.08180658110376982,0.0019524231661469454
22,119277.562,0.09155222028493881,-5.917982770498043e-11,-0.8869624733924866,2.378613212255578e-09,0.11728822439908981,-1.244307157310942e-10,0.020968366414308548,0.14061694204807282,-8.261554556954432e-11,trajectory,STRAIGHT,3.4984755516052246,-0.09152621403095651,0.002184395021900406
23,119277.671,0.10224437713623047,-7.144236591205555e-11,-0.8851519823074341,3.19106811777242e-09,0.12023824453353882,-1.4893626609779886e-10,0.01929027959704399,0.1403809404373169,-3.3997321065883013e-11,trajectory,STRAIGHT,3.4983201026916504,-0.1022153410666462,0.002439505096095067
