frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,cmd_vz,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,97196.375,0.0,0.0,-0.7779968976974487,0.0,0.0,0.0,0.038405127823352814,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.328331708908081,0.0,0.0
2,97196.703,0.0,0.0,-0.7733263373374939,0.0,0.0,0.0,-0.04239076003432274,0.15,0.0,-0.017691544290998642,trajectory,STRAIGHT,3.2972612380981445,0.0,0.0
3,97197.031,4.7497298510279506e-05,2.273639453640087e-16,-0.792984664440155,7.044502404253304e-12,0.002214367501437664,1.7590536503537396e-14,-0.0921773836016655,0.14982285059988498,-7.045988308817724e-13,-0.01293080267334772,trajectory,STRAIGHT,3.3006479740142822,4.7497298510279506e-05,2.273639453640087e-16
4,97197.375,0.004110482521355152,4.625858615429912e-13,-0.816839873790741,7.397241154818623e-10,0.030374182388186455,5.476304739543414e-12,-0.04861672595143318,0.14757006540894507,-7.165427150561879e-11,-0.014359612158820822,trajectory,STRAIGHT,3.2832884788513184,0.004110482521355152,4.625858615429912e-13
5,97198.078,0.01699809357523918,4.236059419904237e-12,-0.8318628668785095,-1.4559437675259072e-09,0.06335774809122086,2.4361644646031522e-11,-0.04879157245159149,0.14493138015270232,2.079845201974071e-10,-0.012546888768986443,trajectory,STRAIGHT,3.3083372116088867,0.01699809357523918,4.236059419904237e-12
6,97198.75,0.06347553431987762,9.70004840339378e-11,-0.8229929208755493,-8.414265480225022e-09,0.07227420806884766,4.939803566195167e-10,0.0024648536927998066,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.387028455734253,0.06347553431987762,9.70004840339378e-11
7,97199.421,0.10268706828355789,5.713012285468722e-10,-0.8066971302032471,-1.68899870854917e-08,0.061933718621730804,1.5454529878056178e-09,-0.00031168898567557335,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.368910789489746,0.10268706828355789,5.713012285468722e-10
8,97200.062,0.12654593586921692,1.94059124325463e-09,-0.7922108173370361,-2.6383465927275073e-08,0.027518093585968018,3.565298722918442e-09,-0.004672454670071602,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.3170104026794434,0.12654593586921692,1.94059124325463e-09
9,97200.734,0.13628613948822021,4.409713927344683e-09,-0.7848384976387024,-3.1937940336811036e-08,0.011210903525352478,5.739027031381738e-09,-0.02649048902094364,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.321936845779419,0.13628613948822021,4.409713927344683e-09
10,97201.406,0.14025336503982544,8.047700283952963e-09,-0.7810383439064026,-3.678847118580139e-08,0.004646083805710077,8.137003071340132e-09,-0.03514770418405533,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.324233055114746,0.14025336503982544,8.047700283952963e-09
11,97202.062,0.14192037284374237,1.3175358581918317e-08,-0.7769777178764343,-4.0664371439643017e-08,0.001870643929578364,1.097767299285124e-08,-0.03300473093986511,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.3252415657043457,0.14192037284374237,1.3175358581918317e-08
12,97202.718,0.1425757259130478,1.9789990091112486e-08,-0.7753028273582458,-4.390613816673387e-08,0.0007615590002387762,1.420491191339579e-08,-0.03322784602642059,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.3109817504882812,0.1425757259130478,1.9789990091112486e-08
13,97203.062,0.1428404450416565,2.8072063784634338e-08,-0.7756003141403198,-4.436297010095898e-08,0.00031795751419849694,1.7840724453321855e-08,-0.03402304649353027,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.3141191005706787,0.1428404450416565,2.8072063784634338e-08
14,97203.421,0.14290522038936615,3.281764193729941e-08,-0.7948805093765259,-4.290015899461281e-08,0.00020732785924337804,1.9820667773728928e-08,-0.09308589994907379,0.14998341377126048,-2.207481786921052e-09,-0.012663468905269004,trajectory,STRAIGHT,3.3024230003356934,0.14290522038936615,3.281764193729941e-08
15,97204.109,0.14303933084011078,3.918973590089081e-08,-0.8218945264816284,-4.1823941533455847e-08,0.003226185217499733,2.213079852708688e-08,-0.051539573818445206,0.14974190518260008,-2.5266504699599065e-09,-0.013789796896620316,trajectory,STRAIGHT,3.355699300765991,0.14303933084011078,3.918973590089081e-08
16,97204.75,0.15692798793315887,5.2292389085550894e-08,-0.8126686215400696,-4.129706609560932e-08,0.033024899661540985,2.5857325169909018e-08,-0.002018074272200465,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.378110885620117,0.15692798793315887,5.2292389085550894e-08
17,97205.453,0.18156853318214417,6.683604425461454e-08,-0.8000923991203308,-3.8486335930104554e-08,0.04761750251054764,3.056630504261193e-08,-0.005937258712947369,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.356178045272827,0.18156853318214417,6.683604425461454e-08
18,97206.078,0.20107224583625793,8.6200891757926e-08,-0.7892922759056091,-3.3975593988876627e-08,0.021704792976379395,3.7890927728767565e-08,-0.026898670941591263,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.321329116821289,0.20107224583625793,8.6200891757926e-08
19,97206.421,0.20853213965892792,1.066575663344338e-07,-0.7843874096870422,-3.2050356023015043e-08,0.009614923968911171,4.439465683958588e-08,-0.0341816246509552,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.324435234069824,0.20853213965892792,1.066575663344338e-07
20,97206.765,0.21067987382411957,1.1956828416259668e-07,-0.799262285232544,-3.246576970482934e-08,0.006132587790489197,4.813561105265762e-08,-0.049894437193870544,0.14950939297676094,-5.123280017758953e-09,-0.015513817542571917,trajectory,STRAIGHT,3.319416046142578,0.21067987382411957,1.1956828416259668e-07
21,97207.093,0.21193495392799377,1.316715554366965e-07,-0.8151987791061401,-3.29673710672754e-08,0.005109437275677919,5.1445955051576675e-08,-0.06743562966585159,0.14959124501794585,-5.293456641610853e-09,-0.01266047695854568,trajectory,STRAIGHT,3.3434953689575195,0.21193495392799377,1.316715554366965e-07
22,97207.421,0.21664735674858093,1.462861405343574e-07,-0.8344303369522095,-3.334592208057481e-08,0.03285866230726242,5.4337654376013234e-08,-0.06572838127613068,0.1473713070154191,-5.873985891681553e-09,-0.011135638165885933,trajectory,STRAIGHT,3.330690383911133,0.21664735674858093,1.462861405343574e-07
