frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,cmd_vz,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,99466.296,0.0,0.0,-0.7846689224243164,0.0,0.0,0.0,0.12043944001197815,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.3438615798950195,0.0,0.0
2,99466.953,0.0,0.0,-0.7572644352912903,0.0,0.0,0.0,-0.04110181704163551,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.267879009246826,0.0,0.0
3,99467.64,0.0,0.0,-0.7545540928840637,0.0,0.0,0.0,-0.0451199933886528,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.278996229171753,0.0,0.0
4,99468.328,0.0,0.0,-0.7572103142738342,0.0,0.0,0.0,0.004804720636457205,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.294610023498535,0.0,0.0
5,99468.984,0.0,0.0,-0.76438969373703,0.0,0.0,0.0,-0.06664280593395233,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.295445680618286,0.0,0.0
6,99469.64,0.0,0.0,-0.7667765021324158,0.0,0.0,0.0,-0.010115192271769047,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.3102729320526123,0.0,0.0
7,99470.687,0.0,0.0,-0.7687556147575378,0.0,0.0,0.0,-0.018487349152565002,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.303617000579834,0.0,0.0
8,99471.328,0.0,0.0,-0.7600803375244141,0.0,0.0,0.0,-0.053857214748859406,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.2727415561676025,0.0,0.0
9,99472.0,0.0,0.0,-0.7614254355430603,0.0,0.0,0.0,-0.017299558967351913,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.297760248184204,0.0,0.0
10,99472.671,0.0,0.0,-0.7643914818763733,0.0,0.0,0.0,-0.03474436700344086,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.2939279079437256,0.0,0.0
11,99473.343,0.0,0.0,-0.7685583829879761,0.0,0.0,0.0,-0.04410647973418236,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.307121992111206,0.0,0.0
12,99474.375,0.0,0.0,-0.7688928842544556,0.0,0.0,0.0,6.249174475669861e-05,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.3170089721679688,0.0,0.0
13,99475.343,0.0,0.0,-0.7605615854263306,0.0,0.0,0.0,-0.05867502838373184,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.2707252502441406,0.0,0.0
14,99476.015,0.0,0.0,-0.749789834022522,0.0,0.0,0.0,-0.016794243827462196,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.2635557651519775,0.0,0.0
15,99476.687,0.0,0.0,-0.7551683187484741,0.0,0.0,0.0,-0.04694174975156784,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.2627975940704346,0.0,0.0
16,99477.406,0.0,0.0,-0.760576069355011,0.0,0.0,0.0,0.0005556507967412472,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.282108783721924,0.0,0.0
17,99478.703,0.0,0.0,-0.7644026875495911,0.0,0.0,0.0,-0.052397944033145905,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.2986202239990234,0.0,0.0
18,99479.39,0.0,0.0,-0.7548509240150452,0.0,0.0,0.0,-0.06330396234989166,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.2529938220977783,0.0,0.0
19,99480.046,0.0,0.0,-0.7567523121833801,0.0,0.0,0.0,-0.03520216420292854,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.2806756496429443,0.0,0.0
20,99480.718,0.0,0.0,-0.7615432143211365,0.0,0.0,0.0,-0.02485317923128605,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.2975010871887207,0.0,0.0
21,99481.39,0.0,0.0,-0.7656406760215759,0.0,0.0,0.0,-0.017240814864635468,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.2955808639526367,0.0,0.0
22,99482.046,0.0,0.0,-0.7701185941696167,0.0,0.0,0.0,-0.048613715916872025,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.3081390857696533,0.0,0.0
23,99482.718,0.0,0.0,-0.7701412439346313,0.0,0.0,0.0,-0.028215786442160606,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.3174827098846436,0.0,0.0
24,99483.437,0.0,0.0,-0.7713061571121216,0.0,0.0,0.0,-0.03348097577691078,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.30839467048645,0.0,0.0
25,99485.093,0.0,0.0,-0.76996248960495,0.0,0.0,0.0,-0.04317837953567505,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.2996678352355957,0.0,0.0
26,99486.468,0.0,0.0,-0.7598280310630798,0.0,0.0,0.0,-0.06410063803195953,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.2583696842193604,0.0,0.0
27,99487.421,0.0,0.0,-0.7478455305099487,0.0,0.0,0.0,-0.0685928463935852,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.237880229949951,0.0,0.0
28,99488.093,0.0,0.0,-0.7408540844917297,0.0,0.0,0.0,-0.05141075327992439,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.2353084087371826,0.0,0.0
29,99488.781,0.0,0.0,-0.7468411326408386,0.0,0.0,0.0,-0.027541030198335648,0.0,0.0,0.0,control_loop_hover,STRAIGHT,3.270542860031128,0.0,0.0
