frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,cmd_vz,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,78260.093,0.0,0.0,-0.857664942741394,0.0,0.0,0.0,0.0008211499080061913,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.1476190090179443,0.0,0.0
2,78260.171,0.0,0.0,-0.8515219688415527,0.0,0.0,0.0,0.05307754501700401,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.1476190090179443,0.0,0.0
3,78260.281,0.0,0.0,-0.8489480018615723,0.0,0.0,0.0,0.008867315948009491,0.1462038853783851,-0.043429179471169865,-0.014512536720527373,trajectory,SOFT_LEFT,3.1475296020507812,0.0,0.0
4,78260.39,6.713064794894308e-05,-2.1478344933711924e-05,-0.8489201068878174,6.234075853806694e-06,0.002681344747543335,-0.0008244224591180682,-0.006857577711343765,0.14598937820974678,-0.04336169572048742,-0.013525704683037659,trajectory,SOFT_LEFT,3.1476316452026367,6.727970491482438e-05,2.100675624647046e-05
5,78260.484,0.0006720828241668642,-0.00020443384710233659,-0.8499797582626343,1.593658149088423e-05,0.010980512015521526,-0.0032971908804029226,-0.015435510315001011,0.14532544862093102,-0.043146528799371524,-0.01289952159314159,trajectory,SOFT_LEFT,3.1475348472595215,0.0006735003366884484,0.00019971276737744962
6,78260.5,0.0009672328596934676,-0.0002929209731519222,-0.8503718376159668,1.7592089055911487e-05,0.013639315031468868,-0.00408317893743515,-0.017141379415988922,0.1451127459225682,-0.04309382117814424,-0.012698139185568703,trajectory,SOFT_LEFT,3.147362232208252,0.0009692635349907164,0.00028612662889941295
7,78260.64,0.002676780801266432,-0.0008030345197767019,-0.8521384000778198,2.08773244946755e-05,0.024537747725844383,-0.007307587657123804,-0.02210792526602745,0.14424087776577563,-0.04278515801052968,-0.01221248739447297,trajectory,SOFT_LEFT,3.147362232208252,0.0026823426594546618,0.000784231613348697
8,78260.703,0.005400385707616806,-0.0016131108859553933,-0.85433429479599,2.0395229500996997e-05,0.035994142293930054,-0.010696399956941605,-0.026141934096813202,0.1433243714479121,-0.04249234766588731,-0.011685176599661614,trajectory,SOFT_LEFT,3.146820068359375,0.005411543070984237,0.0015751763320994904
9,78260.75,0.00778708653524518,-0.002322058193385601,-0.855950653553009,1.8764079297136926e-05,0.04352620616555214,-0.012924387119710445,-0.027464989572763443,0.14272180828689188,-0.04224304128856113,-0.011498514223734643,trajectory,SOFT_LEFT,3.1461775302886963,0.007803128798272496,0.0022673585585660998
10,78260.828,0.010618709959089756,-0.0031626084819436073,-0.8576340079307556,1.654916089353023e-05,0.05080726742744446,-0.015077839605510235,-0.028544645756483078,0.14213932394679374,-0.042138605304336364,-0.011160561376321924,trajectory,SOFT_LEFT,3.1461775302886963,0.010640529361275242,0.003088018476838991
