frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,cmd_vz,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,99275.531,0.0,0.0,-0.9623580574989319,0.0,0.0,0.0,0.12585601210594177,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.698916435241699,0.0,0.0
2,99275.734,0.0,0.0,-0.9456683993339539,0.0,0.0,0.0,0.08873600512742996,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.698916435241699,0.0,0.0
3,99275.875,0.0,0.0,-0.9321455359458923,0.0,0.0,0.0,0.06782428175210953,0.15,0.0,-0.010471687184788078,trajectory,STRAIGHT,3.648883104324341,0.0,0.0
4,99276.046,6.475102964031976e-06,-2.3754011978298307e-16,-0.9265257716178894,-7.044495009931357e-11,0.0006256661145016551,-2.8552477764932915e-14,0.05574348568916321,0.14994994671083986,7.0432313468768205e-12,-0.010519127208070616,trajectory,STRAIGHT,3.630573272705078,6.475102964031976e-06,2.3754011978298307e-16
5,99276.203,0.0016015816945582628,-5.258838611972572e-13,-0.9178953766822815,-1.8363813641682043e-09,0.018664522096514702,-9.63000859610652e-12,0.03554803133010864,0.1485068382322788,1.814249995689891e-10,-0.009928858363476142,trajectory,STRAIGHT,3.5823612213134766,0.0016015816945582628,5.258838611972572e-13
6,99276.328,0.0041810027323663235,-2.341592848439933e-12,-0.914729118347168,-2.893154270372961e-09,0.032040685415267944,-2.753992693615981e-11,0.025673285126686096,0.14743674516677857,9.98998977082416e-11,-0.009922978067021871,trajectory,STRAIGHT,3.526780605316162,0.0041810027323663235,2.341592848439933e-12
7,99276.625,0.012566273100674152,-1.2141384252151166e-11,-0.9111791253089905,-3.973379287939177e-09,0.056246183812618256,-7.900013976325226e-11,0.013379753567278385,0.14550030529499053,1.9894567208114815e-10,-0.009116995194178128,trajectory,STRAIGHT,3.49005126953125,0.012566273100674152,1.2141384252151166e-11
8,99276.828,0.023617032915353775,-2.9974099591267844e-11,-0.9095309972763062,-4.555730804406764e-09,0.07475757598876953,-1.3412324029182798e-10,0.0055478522554039955,0.14401939392089844,3.846782237044772e-11,-0.008867789305114,trajectory,STRAIGHT,3.4888198375701904,0.023617032915353775,2.9974099591267844e-11
9,99277.046,0.03911565989255905,-6.081257025725151e-11,-0.9091904759407043,-5.156874061391465e-09,0.09119168668985367,-1.9749309132510717e-10,-0.0017249534139409661,0.1427046650648117,3.338404983004843e-11,-0.008375367389804333,trajectory,STRAIGHT,3.49743390083313,0.03911565989255905,6.081257025725151e-11
10,99277.265,0.05667674541473389,-1.018405706987302e-10,-0.9099620580673218,-5.73452085553268e-09,0.10337015241384506,-2.581782010402378e-10,-0.006659618578851223,0.1417303878068924,2.5029030835675252e-11,-0.007956968843433092,trajectory,STRAIGHT,3.512302875518799,0.05667674541473389,1.018405706987302e-10
11,99277.468,0.07784254848957062,-1.5851492340956952e-10,-0.9116479158401489,-6.457763132645809e-09,0.11319872736930847,-3.229330691745247e-10,-0.010285473428666592,0.1409441018104553,3.167708877797088e-11,-0.00754872403915752,trajectory,STRAIGHT,3.527658700942993,0.07784254848957062,1.5851492340956952e-10
12,99277.703,0.0999305322766304,-2.2550734890547375e-10,-0.9138394594192505,-5.356497485979965e-09,0.12017039209604263,-3.8663588997067677e-10,-0.012451322749257088,0.14038636863231657,-1.3582326613404918e-10,-0.00719184556607912,trajectory,STRAIGHT,3.541914701461792,0.0999305322766304,2.2550734890547375e-10
13,99277.875,0.12277442216873169,-3.0380309379296477e-10,-0.9163234829902649,-3.900659000235736e-09,0.12519794702529907,-4.5710257801090393e-10,-0.013711483217775822,0.13998416423797608,-1.4916505022562518e-10,-0.006870591338026975,trajectory,STRAIGHT,3.5483975410461426,0.12277442216873169,3.0380309379296477e-10
