frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,cmd_vz,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,98373.234,0.0,0.0,-0.9596911072731018,0.0,0.0,0.0,0.12350877374410629,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.6875853538513184,0.0,0.0
2,98373.375,0.0,0.0,-0.9428545832633972,0.0,0.0,0.0,0.08541104197502136,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.684460163116455,0.0,0.0
3,98373.484,0.0,0.0,-0.9355299472808838,0.0,0.0,0.0,0.07122259587049484,0.15,0.0,-0.01069144913345954,trajectory,STRAIGHT,3.6585233211517334,0.0,0.0
4,98373.593,1.0964304237859324e-05,1.7948024641343705e-16,-0.9298231601715088,7.044324841394946e-12,0.0008877050131559372,1.69341520379852e-14,0.05973513051867485,0.14992898359894752,-7.052971781170233e-13,-0.010797156270825755,trajectory,STRAIGHT,3.637955665588379,1.0964304237859324e-05,1.7948024641343705e-16
5,98373.718,0.0004065849643666297,4.0489238963895544e-16,-0.9246421456336975,-2.489173255287554e-10,0.008255167864263058,-1.7384252132442157e-13,0.04811665788292885,0.14933958657085894,2.473109051662443e-11,-0.010448385815840724,trajectory,STRAIGHT,3.62111496925354,0.0004065849643666297,4.0489238963895544e-16
6,98373.812,0.0018350142054259777,-1.0248376989705973e-13,-0.9202611446380615,-1.6437948379896949e-10,0.020192844793200493,-2.2018300811083025e-12,0.03766893967986107,0.14838457241654396,-8.556372498673238e-12,-0.010309749142869234,trajectory,STRAIGHT,3.5781657695770264,0.0018350142054259777,1.0248376989705973e-13
7,98373.937,0.00447408901527524,-4.838134558780849e-13,-0.9169884324073792,2.9824935257277467e-10,0.03320059925317764,-5.6770048731391576e-12,0.028714070096611977,0.1473439520597458,-5.3300607961914965e-11,-0.009756995187743424,trajectory,STRAIGHT,3.5289571285247803,0.00447408901527524,4.838134558780849e-13
8,98374.046,0.008131535723805428,-1.201669840023012e-12,-0.9146446585655212,1.1366074033245454e-09,0.04537838324904442,-9.974622690311907e-12,0.021774686872959137,0.14636972934007644,-7.842414901277863e-11,-0.00965514106422682,trajectory,STRAIGHT,3.504180669784546,0.008131535723805428,1.201669840023012e-12
9,98374.156,0.013064541853964329,-2.450670742726313e-12,-0.912846565246582,2.1299269973104096e-09,0.05723525583744049,-1.658280283922675e-11,0.01576177030801773,0.14542117953300476,-1.700621974474254e-10,-0.00926401240497847,trajectory,STRAIGHT,3.4945502281188965,0.013064541853964329,2.450670742726313e-12
10,98374.265,0.018681146204471588,-4.360410036513551e-12,-0.9116479754447937,3.106777369148356e-09,0.06741119176149368,-2.6648721423994104e-11,0.01088854018598795,0.1446071046590805,-7.686268641238057e-11,-0.009115970889925044,trajectory,STRAIGHT,3.493234634399414,0.018681146204471588,4.360410036513551e-12
11,98374.375,0.02562960609793663,-7.68002415135749e-12,-0.9108150005340576,4.222135800534038e-09,0.07715179771184921,-4.3831223373036465e-11,0.0064796521328389645,0.14382785618305205,-1.7382667697802765e-10,-0.00880490859120993,trajectory,STRAIGHT,3.493234634399414,0.02562960609793663,7.68002415135749e-12
12,98374.484,0.032944902777671814,-1.2650877741215982e-11,-0.9103923439979553,5.13552864511782e-09,0.08524268120527267,-6.811177316601302e-11,0.002904430264607072,0.14318058550357818,-4.661516719217391e-11,-0.008629238512618922,trajectory,STRAIGHT,3.4964540004730225,0.032944902777671814,1.2650877741215982e-11
