frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,cmd_vz,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,78887.64,0.0,0.0,-0.8309099674224854,0.0,0.0,0.0,0.140347421169281,0.0,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.1475303173065186,0.0,0.0
2,78887.718,0.0,0.0,-0.8141793608665466,0.0,0.0,0.0,0.053136810660362244,0.1462038853783851,-0.043429179471169865,-0.020967455700677973,trajectory,SOFT_LEFT,3.1476337909698486,0.0,0.0
3,78887.89,0.0003533611888997257,-0.00010867760283872485,-0.8156547546386719,1.2629214511821516e-05,0.007462569512426853,-0.0022535400930792093,-0.03941917046904564,0.14560688209427386,-0.04323927503547908,-0.014223921235614362,trajectory,SOFT_LEFT,3.1476471424102783,0.0003541149549235456,0.00010619536997404074
4,78888.031,0.0011139903217554092,-0.0003370664198882878,-0.8186471462249756,1.8072056339015812e-05,0.014817007817327976,-0.004433001391589642,-0.04639798775315285,0.14501853116226854,-0.04305221834440621,-0.013451205314907448,trajectory,SOFT_LEFT,3.147259473800659,0.001116326845384208,0.0003292411826263094
5,78888.156,0.0049159652553498745,-0.0014696292346343398,-0.8266409635543823,2.059534675225572e-05,0.034203801304101944,-0.010168268345296383,-0.054398275911808014,0.14346759802815823,-0.04250264818701423,-0.012280082463949443,trajectory,SOFT_LEFT,3.1469345092773438,0.004926132650616921,0.0014350974214409884
6,78888.25,0.009776048362255096,-0.002913239412009716,-0.833084762096405,1.727027976798186e-05,0.04871438071131706,-0.014461323618888855,-0.05362246185541153,0.14230675490214925,-0.04201449437395171,-0.012019957661360025,trajectory,SOFT_LEFT,3.14605712890625,0.009796155544620433,0.0028445685546879397
7,78888.265,0.01113489456474781,-0.0033165793865919113,-0.8345344662666321,1.6249892232196186e-05,0.05192787945270538,-0.015411840751767159,-0.05378253757953644,0.1420496750579772,-0.042155727139972725,-0.01130064787674807,trajectory,SOFT_LEFT,3.14605712890625,0.011157770570434877,0.003238363491559066
8,78888.39,0.017596444115042686,-0.005233529023826122,-0.8401929140090942,1.1600451443542551e-05,0.06428825855255127,-0.019066940993070602,-0.050199028104543686,0.14106084238933686,-0.0416711632861633,-0.011304406247624384,trajectory,SOFT_LEFT,3.144954204559326,0.017632429841135888,0.00510992484239524
9,78888.484,0.024458440020680428,-0.007268392946571112,-0.8451143503189087,7.714011125714681e-06,0.0741339921951294,-0.021980037912726402,-0.04879389703273773,0.14027317956729177,-0.04146685294462528,-0.01085859504613004,trajectory,SOFT_LEFT,3.1434361934661865,0.024508252171557388,0.007096587618957368
10,78888.703,0.03374098986387253,-0.01001986674964428,-0.8507201671600342,3.847995735081405e-06,0.0842747837305069,-0.0249741543084383,-0.04742250218987465,0.1394619103680296,-0.040951811110503035,-0.010688015791502812,trajectory,SOFT_LEFT,3.1410205364227295,0.03380935069314717,0.009782857456874213
11,78888.828,0.053046297281980515,-0.015738392248749733,-0.8609658479690552,-8.805019928452273e-07,0.09884130954742432,-0.029262684285640717,-0.04840002581477165,0.1382965785533261,-0.04051585113679189,-0.009635232380464648,trajectory,SOFT_LEFT,3.135788679122925,0.053152667930604025,0.015365775634903161
12,78888.968,0.06185935065150261,-0.018346646800637245,-0.8649958372116089,-2.2406303373205956e-06,0.10363513976335526,-0.030659858137369156,-0.043140873312950134,0.13791306870154485,-0.04071545080841771,-0.009404532704292395,trajectory,SOFT_LEFT,3.128600835800171,0.06198281506296155,0.017912124233359274
13,78889.078,0.07694867998361588,-0.0228077694773674,-0.8708964586257935,-3.8047116354098845e-06,0.11015012860298157,-0.032547324895858765,-0.04074395075440407,0.13739186518355542,-0.04037916511255839,-0.009124281079718974,trajectory,SOFT_LEFT,3.1249544620513916,0.07710102840904653,0.022267254324119835
14,78889.203,0.08702144026756287,-0.025783397257328033,-0.8744614124298096,-4.5140795797234655e-06,0.11359769105911255,-0.03355063498020172,-0.03806170076131821,0.13711605797772972,-0.04000128017626291,-0.009160613388965039,trajectory,SOFT_LEFT,3.121156692504883,0.08719280695548548,0.0251721276649279
