frame,time_s,x,y,z,yaw,vx,vy,vz,cmd_vx,cmd_vy,command_source,family,min_distance_m,goal_progress_m,lateral_deviation_m
1,19734.656,0.0,0.0,-0.980651319026947,0.0,0.0,0.0,0.1317354291677475,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.723862886428833,0.0,0.0
2,19734.703,0.0,0.0,-0.9747827053070068,0.0,0.0,0.0,0.11935685575008392,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.723862886428833,0.0,0.0
3,19734.75,0.0,0.0,-0.9708189368247986,0.0,0.0,0.0,0.10244450718164444,0.0,0.0,trajectory_no_feasible,STRAIGHT,3.723862886428833,0.0,0.0
4,19734.812,0.0,0.0,-0.9659558534622192,0.0,0.0,0.0,0.08969789743423462,0.15,0.0,trajectory,STRAIGHT,3.723862886428833,0.0,0.0
5,19734.859,3.027763852969656e-07,2.135824802569842e-18,-0.9623271226882935,3.0526062291262693e-11,7.021017518127337e-05,8.552903538197273e-16,0.08347989618778229,0.14999438318598549,-3.0525024824654904e-12,trajectory,STRAIGHT,3.705907106399536,-3.0269018935769054e-07,7.2241093098769095e-09
6,19734.921,2.5175782866426744e-05,1.0133622660077855e-15,-0.959161639213562,6.105233868720302e-11,0.0015048908535391092,7.602770545284479e-14,0.07893981039524078,0.14987960873171688,-6.1039135488547e-12,trajectory,STRAIGHT,3.705907106399536,-2.5168615835013952e-05,6.006829345802182e-07
7,19734.953,0.00014431927411351353,8.853669479415988e-15,-0.9559386968612671,1.3384730731302943e-10,0.004353930242359638,3.3330198952359613e-13,0.0746345967054367,0.14965168558061123,-1.3363727635655936e-11,trajectory,STRAIGHT,3.6827642917633057,-0.00014427818949513949,3.4433934240522338e-06
8,19735.015,0.0005707973032258451,5.1949587752224413e-14,-0.951625645160675,1.5498185358812825e-10,0.010120405815541744,1.220096289625272e-12,0.06926088035106659,0.14919036753475665,-2.083283946772002e-12,trajectory,STRAIGHT,3.6827642917633057,-0.0005706348110550152,1.3618968740735676e-05
9,19735.062,0.0010076864855363965,1.1040743785797197e-13,-0.9491848349571228,9.392502092703097e-11,0.014213552698493004,2.0598117395770332e-12,0.0663718432188034,0.14886291578412056,3.932198159708162e-12,trajectory,STRAIGHT,3.6268575191497803,-0.001007399624583627,2.4042949537588004e-05
10,19735.109,0.0018301733070984483,2.4112360870985616e-13,-0.9460852146148682,-2.1145332375144453e-11,0.020125770941376686,3.4275451400722634e-12,0.06283077597618103,0.14838993832468986,1.5164223280033305e-11,trajectory,STRAIGHT,3.6268575191497803,-0.0018296523167222745,4.36671178388249e-05
11,19735.156,0.0024916655384004116,3.5819001302332676e-13,-0.944231390953064,-1.9257654955761893e-10,0.023988360539078712,4.387368940372838e-12,0.06077153608202934,0.1480809311568737,1.639811911726715e-11,trajectory,STRAIGHT,3.5776612758636475,-0.0024909562540500474,5.9450027116558715e-05
12,19735.203,0.003885656828060746,6.259016200292622e-13,-0.9412163496017456,-7.021730825554202e-10,0.03069407120347023,6.130138063831225e-12,0.057504866272211075,0.1475444743037224,6.570535160433424e-11,trajectory,STRAIGHT,3.5776612758636475,-0.0038845507630966836,9.271003688152988e-05
13,19735.296,0.005400739144533873,9.382928461976192e-13,-0.9386894702911377,-1.333881733041128e-09,0.03663663566112518,7.776204159759548e-12,0.05483183264732361,0.14706906914711,1.261960404298746e-10,trajectory,STRAIGHT,3.5514044761657715,-0.005399201861976621,0.00012885922450146613
14,19735.39,0.009516389109194279,1.885324578745906e-12,-0.9336791038513184,-2.677121301965414e-09,0.049001287668943405,1.2301782856272148e-11,0.049662504345178604,0.14607989698648452,1.2164871038810834e-10,trajectory,STRAIGHT,3.5382320880889893,-0.009513680601600072,0.00022705679520898983
15,19735.421,0.012010935693979263,2.553019644649379e-12,-0.9313523173332214,-3.243047108866621e-09,0.05489809811115265,1.569313082261381e-11,0.04730707406997681,0.14560815215110778,1.7311292708709116e-10,trajectory,STRAIGHT,3.5382320880889893,-0.012007517404249768,0.0002865755631147834
16,19735.5,0.015332329086959362,3.5992029669140724e-12,-0.9287312626838684,-3.928718993106927e-09,0.06157505512237549,2.1366240374187662e-11,0.04468680918216705,0.14507399559020995,4.609550164634029e-11,trajectory,STRAIGHT,3.5382320880889893,-0.015327965880523209,0.0003658225269030428
17,19735.593,0.01943225786089897,5.213667171599656e-12,-0.9260022640228271,-4.663687341844374e-09,0.06849571317434311,3.044205859614735e-11,0.04197916388511658,0.14452034294605254,1.1034611399228418e-10,trajectory,STRAIGHT,3.5320897102355957,-0.019426728455464115,0.00046364499768961916
18,19735.625,0.02306058071553707,7.010330684009691e-12,-0.92391437292099,-5.1051217455011665e-09,0.07373438775539398,4.0439141618664465e-11,0.03991689532995224,0.14410124897956847,8.762497588751867e-12,trajectory,STRAIGHT,3.5297791957855225,-0.023054019446611562,0.0005502151620827473
19,19735.703,0.028137991204857826,1.0212828846500877e-11,-0.9213634729385376,-5.6897764791702926e-09,0.0800311267375946,5.741784478430212e-11,0.03741253912448883,0.14359750986099243,5.613346449987415e-11,trajectory,STRAIGHT,3.5297791957855225,-0.02812998626418306,0.0006713599115602085
20,19735.781,0.03464867174625397,1.5681900222830336e-11,-0.9185538291931152,-6.276755036203303e-09,0.086784228682518,8.405641460651481e-11,0.03466516733169556,0.14305726170539856,1.0040659515778208e-10,trajectory,STRAIGHT,3.529393434524536,-0.03463881612017161,0.0008267018465269517
21,19735.828,0.03863529488444328,1.9878286516838983e-11,-0.9170276522636414,-6.520921487270515e-09,0.09035684913396835,1.0287558999122481e-10,0.03317838907241821,0.14277145206928252,-3.396947989350521e-11,trajectory,STRAIGHT,3.529839515686035,-0.03862430632926106,0.0009218208980375566
22,19735.89,0.043623778969049454,2.6119348003894594e-11,-0.9152820706367493,-6.837875993617643e-09,0.09434442222118378,1.2890861988967828e-10,0.03148401156067848,0.1424524462223053,-1.2990642436773575e-11,trajectory,STRAIGHT,3.529839515686035,-0.043611373076473114,0.001040843906258251
23,19735.921,0.046196646988391876,2.979279323245265e-11,-0.9144430160522461,-6.974046483340402e-09,0.09622130542993546,1.433553692420375e-10,0.03067096322774887,0.14230229556560517,-4.888134279814177e-12,trajectory,STRAIGHT,3.530507802963257,-0.0461835102194641,0.0011022313916125277
24,19736.0,0.05178895220160484,3.890291908059673e-11,-0.912742018699646,-7.281602021849738e-09,0.0999409481883049,1.7701638765910133e-10,0.029027801007032394,0.1420047241449356,-4.660728067282508e-11,trajectory,STRAIGHT,3.530507802963257,-0.051774227131801354,0.001235661305112637
25,19736.015,0.053295064717531204,4.16296858096743e-11,-0.9123097062110901,-7.333247645199568e-09,0.10086628049612045,1.8659837563994586e-10,0.02861103042960167,0.14193069756031035,-4.4571081746943393e-11,trajectory,STRAIGHT,3.530507802963257,-0.05327991196089954,0.0012715964797118844
26,19736.062,0.05820532888174057,5.1358015062952234e-11,-0.9109676480293274,-7.441213343242557e-09,0.10368847846984863,2.1924854987087627e-10,0.02732081525027752,0.1417049217224121,-4.36410837388868e-11,trajectory,STRAIGHT,3.5311765670776367,-0.05818878198336819,0.0013887531990577928
